date;unit;consumption;time
27.3.2019;fridge;43,0W;11:50
27.3.2019;fridge;42,3W;11:55
27.3.2019;fridge;42,3W;12:00
27.3.2019;fridge;42,3W;12:05
27.3.2019;fridge;42,3W;12:10
27.3.2019;fridge;42,3W;12:15
27.3.2019;fridge;37,8W;12:20
27.3.2019;fridge;37,0W;12:25
27.3.2019;fridge;37,0W;12:30
27.3.2019;fridge;38,2W;12:35
27.3.2019;fridge;39,4W;12:40
27.3.2019;fridge;39,5W;12:45
27.3.2019;fridge;38,6W;12:50
27.3.2019;fridge;37,4W;12:55
27.3.2019;fridge;37,3W;13:00
27.3.2019;fridge;36,5W;13:05
27.3.2019;fridge;36,5W;13:10
27.3.2019;fridge;36,6W;13:15
27.3.2019;fridge;35,4W;13:20
27.3.2019;fridge;35,4W;13:25
27.3.2019;fridge;37,3W;13:30
27.3.2019;fridge;37,5W;13:35
27.3.2019;fridge;38,4W;13:40
27.3.2019;fridge;38,4W;13:45
27.3.2019;fridge;36,7W;13:50
27.3.2019;fridge;35,7W;13:55
27.3.2019;fridge;35,7W;14:00
27.3.2019;fridge;35,0W;14:05
27.3.2019;fridge;35,1W;14:10
27.3.2019;fridge;34,8W;14:15
27.3.2019;fridge;49,5W;14:20
27.3.2019;fridge;49,5W;14:25
27.3.2019;fridge;2,5W;14:30
27.3.2019;fridge;2,5W;14:35
27.3.2019;fridge;2,5W;14:40
27.3.2019;fridge;2,5W;14:45
27.3.2019;fridge;40,7W;14:50
27.3.2019;fridge;37,3W;14:55
27.3.2019;fridge;38,5W;15:00
27.3.2019;fridge;59,0W;15:05
27.3.2019;fridge;59,0W;15:10
27.3.2019;fridge;59,0W;15:15
27.3.2019;fridge;59,0W;15:20
27.3.2019;fridge;59,0W;15:25
27.3.2019;fridge;59,0W;15:30
27.3.2019;fridge;59,0W;15:35
27.3.2019;fridge;3,9W;15:40
27.3.2019;fridge;3,9W;15:45
27.3.2019;fridge;2,7W;15:50
27.3.2019;fridge;70,3W;15:55
27.3.2019;fridge;70,3W;16:00
27.3.2019;fridge;70,3W;16:05
27.3.2019;fridge;70,3W;16:10
27.3.2019;fridge;70,3W;16:15
27.3.2019;fridge;70,3W;16:20
27.3.2019;fridge;70,3W;16:25
27.3.2019;fridge;70,3W;16:30
27.3.2019;fridge;2,7W;16:35
27.3.2019;fridge;2,7W;16:40
27.3.2019;fridge;68,9W;16:45
27.3.2019;fridge;68,9W;16:50
27.3.2019;fridge;68,9W;16:55
27.3.2019;fridge;68,9W;17:00
27.3.2019;fridge;68,9W;17:05
27.3.2019;fridge;68,9W;17:10
27.3.2019;fridge;68,9W;17:15
27.3.2019;fridge;68,9W;17:20
27.3.2019;fridge;3,9W;17:25
27.3.2019;fridge;3,9W;17:30
27.3.2019;fridge;31,2W;17:35
27.3.2019;fridge;36,3W;17:40
27.3.2019;fridge;38,9W;17:45
27.3.2019;fridge;38,8W;17:50
27.3.2019;fridge;38,7W;17:55
27.3.2019;fridge;38,7W;18:00
27.3.2019;fridge;38,7W;18:05
27.3.2019;fridge;36,5W;18:10
27.3.2019;fridge;36,3W;18:15
27.3.2019;fridge;185,5W;18:20
27.3.2019;fridge;154,3W;18:25
27.3.2019;fridge;154,3W;18:30
27.3.2019;fridge;154,3W;18:35
